Feature,CompGroup.C.,BaseGroup.B.,NumSamplesInC,NumSamplesInB,SignedFC,Tstatistic,Parameter,Pvalue,X95.Conf.Int.1,X95.Conf.Int.2,MeanC,MeanB,NullValue.DifferenceInMeans,Alternative,Method,FDR
78,228158_at|LSP1P5,Severe,Moderate,7,8,-1.44700846046856,-3.55609722059062,10.6465918964315,0.00473378583190635,-0.864351089530131,-0.201795624755583,4.11801814285714,4.6510915,0,two.sided,Welch Two Sample t-test,0.993989432083415
79,221162_at|HHLA1,Severe,Moderate,7,8,1.25594729919402,3.42628088292433,12.293591900735,0.0048583079397785,0.120255829603981,0.537296027538876,2.51701042857143,2.1882345,0,two.sided,Welch Two Sample t-test,0.993989432083415
80,206948_at|NEU3,Severe,Moderate,7,8,1.39277827739742,3.48862760381849,11.3186808156178,0.00486509723753161,0.177448366838424,0.77848284744729,2.56564485714286,2.08767925,0,two.sided,Welch Two Sample t-test,0.993989432083415
81,233157_x_at|ODAD1,Severe,Moderate,7,8,2.37223211316361,3.38749437338454,12.9625546577008,0.00487574268581747,0.451221027166206,2.04126932997665,6.69580442857143,5.44955925,0,two.sided,Welch Two Sample t-test,0.993989432083415
82,224325_at|FZD8,Severe,Moderate,7,8,-1.59512491959626,-3.83124520521739,8.06469042995585,0.00493381219121922,-1.07858165160497,-0.268757169823596,1.53238871428571,2.206058125,0,two.sided,Welch Two Sample t-test,0.993989432083415
83,206270_at|PRKCG,Severe,Moderate,7,8,1.39927710731595,3.41273229423157,12.3538413186527,0.00495048391848077,0.17622335190454,0.793140040952603,3.92237057142857,3.437688875,0,two.sided,Welch Two Sample t-test,0.993989432083415
84,33850_at|MAP4,Severe,Moderate,7,8,1.27284100133923,3.39333914611229,12.6339057943875,0.0049850395575081,0.12581036142448,0.570294067146949,6.48882771428571,6.1407755,0,two.sided,Welch Two Sample t-test,0.993989432083415
85,207001_x_at|TSC22D3,Severe,Moderate,7,8,1.28516548687219,3.36543205974081,12.9768316882431,0.00507955691096237,0.129563082850064,0.594345202864221,2.96296114285714,2.601007,0,two.sided,Welch Two Sample t-test,0.993989432083415
86,223257_at|G2E3,Severe,Moderate,7,8,-1.38755715264549,-3.51972931780095,10.5521089451835,0.00510831352033063,-0.769581671497485,-0.175512721359657,2.43211242857143,2.904659625,0,two.sided,Welch Two Sample t-test,0.993989432083415
87,210417_s_at|PI4KB,Severe,Moderate,7,8,1.38874922560939,3.63166296984875,9.30935309556924,0.00517318548255205,0.180153671271557,0.767418543014159,4.22696385714286,3.75317775,0,two.sided,Welch Two Sample t-test,0.993989432083415
88,231944_at|ERO1B,Severe,Moderate,7,8,-1.55652727477829,-3.46707020458899,11.086877924514,0.00520800205795879,-1.04317258654004,-0.233489127745679,3.13994714285714,3.778278,0,two.sided,Welch Two Sample t-test,0.993989432083415
89,215847_at|HERC2P3,Severe,Moderate,7,8,-1.71543498220664,-3.43839598948402,11.4702747217559,0.00522488387384675,-1.27447363023586,-0.282675262621284,2.39179442857143,3.170368875,0,two.sided,Welch Two Sample t-test,0.993989432083415
90,1561553_at|WARS2-AS1,Severe,Moderate,7,8,-1.158646265824,-3.4852899599583,10.7327986111389,0.00528689696865696,-0.347006271944207,-0.0778740869129357,1.51401083157143,1.726451011,0,two.sided,Welch Two Sample t-test,0.993989432083415
91,213737_x_at|GOLGA8N,Severe,Moderate,7,8,-1.88502192468201,-3.40934125113786,11.7812846127082,0.00530963161762228,-1.50026986569216,-0.328892741450694,4.62993857142857,5.544519875,0,two.sided,Welch Two Sample t-test,0.993989432083415
